[2025-10-17 17:26:29,350] INFO [Controller id=0 epoch=4] Sending UpdateMetadata request to brokers HashSet() for 0 partitions (state.change.logger)
[2025-10-17 17:28:34,536] INFO [Broker id=0] Leader __consumer_offsets-31 with topic id Some(SEtKCed8QsqQUZCZ8sq0Cw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-10-17 17:28:34,538] INFO [Broker id=0] Leader __consumer_offsets-46 with topic id Some(SEtKCed8QsqQUZCZ8sq0Cw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-10-17 17:28:34,542] INFO [Broker id=0] Leader __consumer_offsets-1 with topic id Some(SEtKCed8QsqQUZCZ8sq0Cw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-10-17 17:28:34,546] INFO [Broker id=0] Leader __consumer_offsets-16 with topic id Some(SEtKCed8QsqQUZCZ8sq0Cw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-10-17 17:28:34,550] INFO [Broker id=0] Leader __consumer_offsets-2 with topic id Some(SEtKCed8QsqQUZCZ8sq0Cw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-10-17 17:28:34,552] INFO [Broker id=0] Leader __consumer_offsets-25 with topic id Some(SEtKCed8QsqQUZCZ8sq0Cw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-10-17 17:28:34,556] INFO [Broker id=0] Leader __consumer_offsets-40 with topic id Some(SEtKCed8QsqQUZCZ8sq0Cw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-10-17 17:28:34,560] INFO [Broker id=0] Leader __consumer_offsets-47 with topic id Some(SEtKCed8QsqQUZCZ8sq0Cw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-10-17 17:28:34,564] INFO [Broker id=0] Leader __consumer_offsets-17 with topic id Some(SEtKCed8QsqQUZCZ8sq0Cw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-10-17 17:28:34,567] INFO [Broker id=0] Leader __consumer_offsets-32 with topic id Some(SEtKCed8QsqQUZCZ8sq0Cw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-10-17 17:28:34,570] INFO [Broker id=0] Leader __consumer_offsets-37 with topic id Some(SEtKCed8QsqQUZCZ8sq0Cw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-10-17 17:28:34,574] INFO [Broker id=0] Leader creditcard_application-2 with topic id Some(DRbN0mzBRq6_A9YRedHmnA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-10-17 17:28:34,578] INFO [Broker id=0] Leader __consumer_offsets-7 with topic id Some(SEtKCed8QsqQUZCZ8sq0Cw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
